timestamp,ticker,title,category,direction,contracts,price_cents,dollars_risked,edge_pct,true_prob,implied_prob,confidence,kelly_fraction,dry_run,order_id,status
2026-04-10T03:22:31.172685,KXSOLMAXY-27JAN01-150,"Will the spot price of Solana be above $150.00 before Jan 1, 2027 at 12:00 AM ET",Crypto,NO,1,66,0.66,-28.13,0.0787,0.36,80,0.5,False,d5a45d0a-3034-415f-956b-29833b867b65,executed
2026-04-10T03:22:31.825539,KXSOLMAXY-27JAN01-160,"Will the spot price of Solana be above $160.00 before Jan 1, 2027 at 12:00 AM ET",Crypto,NO,1,72,0.72,-25.16,0.0584,0.31,80,0.5,False,67efafc9-5628-4b60-ab56-2a1c36ddc122,executed
2026-04-10T03:22:32.331592,KXSOLMAXY-27JAN01-170,"Will the spot price of Solana be above $170.00 before Jan 1, 2027 at 12:00 AM ET",Crypto,NO,1,76,0.76,-23.67,0.0433,0.28,70,0.5,False,6af3f21f-2d1e-4b3f-a8e5-2f6d503a12fb,executed
